stamp_sec,state,message,requested_mode,tag_id,tag_margin,tag_x_camera_m,tag_y_camera_m,tag_z_camera_m,tag_range_m,tag_bearing_rad,tag_rel_x_m,tag_rel_y_m,tag_rel_z_m,odom_x,odom_y,odom_yaw,odom_rel_x,odom_rel_y,odom_rel_yaw,imu_x,imu_y,imu_z,imu_w,cmd_heading,cmd_lateral,cmd_turning,range_error_m,lateral_error_m,yaw_error_rad,target_reached
1782597919.6393893,TRACKING,Tracking AprilTag,Walk,4,70.8682632446289,0.011156687990003075,-0.04588618300850279,0.545982791895246,0.5480211880244445,0.020431295096758655,1.0664325858354173,0.038146367121827354,-1.4405059170026275,1.3581159960199316,0.07533179277081653,-0.49155349724809233,1.571248751188865,0.6536345775409209,0.48524965732381903,-0.19091861347859854,0.683901235302972,0.16815242331634878,0.6837791645782415,0.03448709392143451,-0.011156687990003075,-0.01838816558708279,0.04598279189524601,0.011156687990003075,0.020431295096758655,False
1782597919.6893866,TRACKING,Tracking AprilTag,Walk,4,70.52619171142578,0.007327841734154362,-0.043775783462852755,0.5435094509442755,0.5453187505927292,0.01348163819379273,1.0626037395795687,0.04025676666747739,-1.442979257953598,1.3583796665503218,0.07408067608010706,-0.4938931225941296,1.5724331368392548,0.6531528662648237,0.48291003197778176,-0.18987844569046533,0.6840140600620523,0.16741773594630227,0.6841361291367489,0.03263208820820662,-0.007327841734154362,-0.012133474374413459,0.043509450944275496,0.007327841734154362,0.01348163819379273,False
1782597919.7393892,TRACKING,Tracking AprilTag,Walk,4,70.81675720214844,0.005312186772947188,-0.04021126652210742,0.5430840426598411,0.5445965870948686,0.009781206858259167,1.0605880846183613,0.043821283608222725,-1.4434046662380324,1.357829837628106,0.07307412569192927,-0.4947067788671803,1.5729595523227429,0.6521338754570194,0.4820963757047311,-0.1898819506472326,0.6843318645634111,0.1668104696621301,0.6839656505795205,0.032313031994880836,-0.005312186772947188,-0.008803086172433252,0.043084042659841115,0.005312186772947188,0.009781206858259167,False
1782597919.7893708,TRACKING,Tracking AprilTag,Walk,4,71.03904724121094,0.0020111590187180603,-0.03638681078580749,0.5427555112620045,0.5439775636596059,0.0037054433761910125,1.0572870568641322,0.04764573934452266,-1.443733197635869,1.3569392581322295,0.07176327264769974,-0.495070857994903,1.573547437731092,0.6506621899305934,0.48173229657700833,-0.19042843009055418,0.6850540703001219,0.1660145287968934,0.6832840624563314,0.03206663344650337,-0.0020111590187180603,-0.0033348990385719114,0.0427555112620045,0.0020111590187180603,0.0037054433761910125,False
1782597919.839413,TRACKING,Tracking AprilTag,Walk,4,71.05677795410156,0.0006860178489189727,-0.03538115974168491,0.5432970639169274,0.544448341668803,0.0012626931560770964,1.0559619156943332,0.04865139038864524,-1.443191644980946,1.3560328480595647,0.06999742813878655,-0.49571980145432876,1.574503520242041,0.6489227382118772,0.4810833531175826,-0.1907942448523375,0.6857850720284274,0.16534280527990478,0.6826112714102823,0.032472797937695586,-0.0006860178489189727,-0.0011364238404693867,0.04329706391692745,0.0006860178489189727,0.0012626931560770964,False
1782597919.889378,TRACKING,Tracking AprilTag,Walk,4,70.77706909179688,-0.0026139762972190992,-0.034470473762433854,0.5440029303626399,0.5451002060874939,-0.004805040623443165,1.0526619215481952,0.04956207636789629,-1.4424857785352336,1.3547570351918752,0.06807874979511304,-0.4970063179126677,1.575379512662726,0.646791620585197,0.47979683665924366,-0.19097825154996215,0.6869479773713084,0.16406185368050438,0.6816989746121851,0.033002197771979935,0.0026139762972190992,0.004324536561098849,0.044002930362639914,-0.0026139762972190992,-0.004805040623443165,False
1782597919.9393952,TRACKING,Tracking AprilTag,Walk,4,70.92597198486328,-0.0051155585163170985,-0.03427641951472505,0.5453824070517075,0.546482398431274,-0.009379489392850089,1.050160339329097,0.0497561306156051,-1.441106301846166,1.3545638140031417,0.06679306508398097,-0.49677498736188136,1.5763368345397493,0.6459119306239116,0.48002816721003005,-0.18926620301742983,0.6863875263250616,0.16589020954575115,0.6822982533156556,0.034036805288780614,0.0051155585163170985,0.00844154045356508,0.045382407051707485,-0.0051155585163170985,-0.009379489392850089,False
1782597919.9894044,TRACKING,Tracking AprilTag,Walk,4,70.87848663330078,-0.006878707026508304,-0.0405855184164827,0.5488708871208732,0.5504123469221466,-0.01253181229368049,1.0483971908189058,0.04344703171384745,-1.4376178217770004,1.3551027990187297,0.06602251944776798,-0.4951879235421969,1.5772770515340917,0.6459273393248658,0.48161523102971443,-0.1900067510799461,0.6856234612531431,0.16632457330319728,0.682754743842042,0.03665316534065488,0.006878707026508304,0.011278631064312442,0.048870887120873174,-0.006878707026508304,-0.01253181229368049,False
1782597920.0394216,TRACKING,Tracking AprilTag,Walk,4,70.75196838378906,-0.007015532280889287,-0.04155462220566241,0.5433509873289829,0.5449828435384182,-0.01291088565499685,1.0482603655645248,0.04247792792466774,-1.4431377215688905,1.3556420068575432,0.06567559996303542,-0.4933851608361773,1.5778663289859916,0.6461800255077239,0.4834179937357341,-0.19030743108810397,0.6856072397090032,0.16711409439359481,0.6824944497842137,0.03251324049673718,0.007015532280889287,0.011619797089497166,0.043350987328982904,-0.007015532280889287,-0.01291088565499685,False
1782597920.0895,TRACKING,Tracking AprilTag,Walk,4,70.83663177490234,-0.0049380817622843,-0.04038594904951228,0.5430132979215865,0.5445354453585171,-0.00909359985212795,1.0503378160831298,0.043646601080817866,-1.443475410976287,1.356375878846632,0.06541549110448705,-0.4916448478360482,1.578492613987843,0.6466426179969843,0.4851583067358632,-0.19055348634661642,0.6852479151868874,0.16827545222857831,0.682501308240828,0.03225997344118986,0.0049380817622843,0.008184239866915155,0.04301329792158648,-0.0049380817622843,-0.00909359985212795,False
