stamp_sec,state,message,requested_mode,tag_id,tag_margin,tag_x_camera_m,tag_y_camera_m,tag_z_camera_m,tag_range_m,tag_bearing_rad,tag_face_yaw_error_rad,tag_face_normal_x_camera,tag_face_normal_y_camera,tag_face_normal_z_camera,tag_pose_rel_x_m,tag_pose_rel_y_m,odom_x,odom_y,odom_yaw,odom_rel_x,odom_rel_y,odom_rel_yaw,odom_tagframe_rel_x_m,odom_tagframe_rel_y_m,imu_x,imu_y,imu_z,imu_w,cmd_heading,cmd_lateral,cmd_turning,range_error_m,lateral_error_m,yaw_error_rad,cmd_face_yaw_error_rad,cmd_face_blend,target_reached
1782601031.3065479,TRACKING,Tracking AprilTag,Walk,4,72.20001983642578,-0.019831226197180238,-0.02448229184404997,1.7354986296514807,1.735784593107275,-0.011426320246323153,0.24005060269091905,0.23769598482981885,-0.021663062592376766,0.9710980025285302,0.5493463395917028,0.017365755278954342,0.5473019557625844,0.9120385825176375,-0.820567956001085,0.532517467338377,0.1543773419295124,0.25724609702445833,0.5541909804647662,-0.016720463307040162,-0.10449247380465183,0.705507304151852,0.07641622500200006,0.6967792528936363,0.18,0.019831226197180238,-0.02146316846067718,1.2354986296514807,-0.019831226197180238,-0.011426320246323153,0.24005060269091905,0.2645013703485193,False
1782601031.3565035,TRACKING,Tracking AprilTag,Walk,4,72.15994262695312,-0.021409602336445996,-0.022480138663068135,1.7327023367630838,1.7329804140643847,-0.012355562988681389,0.24851881474322324,0.24596844901646167,0.0009043282760948196,0.969277413478105,0.5527733432912523,0.0005129268008754739,0.5483757376662031,0.9067112887857021,-0.8206164803600414,0.5377185885247328,0.15280209449253648,0.2571975726655019,0.5586564420958902,-0.019817674714712824,-0.10473474288716925,0.7061660694665199,0.07623175633221119,0.6960954211119844,0.18,0.021409602336445996,-0.022094242535822574,1.2327023367630838,-0.021409602336445996,-0.012355562988681389,0.24851881474322324,0.26729766323691617,False
1782601031.4065168,TRACKING,Tracking AprilTag,Walk,4,72.26397705078125,-0.025380159193860396,-0.016705706441222816,1.732829601415328,1.7330959756025084,-0.014645608845646719,0.22524818241441524,0.2233442242240371,0.006027905825862099,0.974720996930464,0.5532269267377522,0.036922847621420396,0.5499098986158955,0.9004287727897861,-0.8215254729288914,0.5439790660220325,0.1511803427962815,0.2562885800966519,0.5641157196956716,-0.023284653968620617,-0.10528756587150435,0.7072272613061571,0.0754408298070605,0.6950200072920696,0.18,0.025380159193860396,-0.016908775376984077,1.232829601415328,-0.025380159193860396,-0.014645608845646719,0.22524818241441524,0.26717039858467206,False
1782601031.456528,TRACKING,Tracking AprilTag,Walk,4,72.17881774902344,-0.028483254507718377,-0.01269063428131909,1.7239153329301975,1.724197327192467,-0.016520917531872115,0.2454744467722655,0.24299337849506736,0.013816793520228368,0.9699295408556089,0.562057460594875,-0.0014509237947759046,0.5529320389673841,0.8949307313997956,-0.8227065319274341,0.5502526738262778,0.15124064659927486,0.2551075210981092,0.5701043455172554,-0.02515498875127417,-0.10290699990675484,0.7072872567731169,0.07647833385715529,0.6952020930829997,0.18,0.028483254507718377,-0.019017039676947532,1.2239153329301975,-0.028483254507718377,-0.016520917531872115,0.2454744467722655,0.2760846670698025,False
1782601031.5065138,TRACKING,Tracking AprilTag,Walk,4,72.2334213256836,-0.03402621168871432,-0.023153680232278134,1.7451124966477438,1.7455977491811525,-0.01949553441258832,0.15742800160958256,0.15674030846690518,0.02208159062698578,0.9873929709376513,0.5478960904765158,0.14619661647838617,0.5581815684207908,0.8896261289192793,-0.823056376501262,0.5574099997440154,0.15335466000173156,0.25475767652428144,0.5775649889814806,-0.02534251490464326,-0.1015609966604654,0.7063494076632009,0.07769660381536807,0.6962177216982746,0.18,0.03402621168871432,-0.0025172341726712455,1.2451124966477438,-0.03402621168871432,-0.01949553441258832,0.15742800160958256,0.2548875033522562,False
1782601031.5565093,TRACKING,Tracking AprilTag,Walk,4,72.45741271972656,-0.034443941238444,-0.024825021003131425,1.7124063015198134,1.7129325755092084,-0.020111638892948116,0.24289465425630916,0.24051331078641963,-0.00016962694937352725,0.9706458255003485,0.5727822401816334,-0.0032213190119492197,0.5637717998757021,0.8851530170179202,-0.8223307105515597,0.5639960834659423,0.15616231365012392,0.2554833424739836,0.5846951645808733,-0.024694430247066662,-0.10137766825640115,0.707324381350652,0.07836780616569482,0.6951785920773084,0.18,0.034443941238444,-0.016827010975665767,1.2124063015198134,-0.034443941238444,-0.020111638892948116,0.24289465425630916,0.28759369848018657,False
1782601031.6065078,TRACKING,Tracking AprilTag,Walk,4,72.24640655517578,-0.030856884339116777,-0.01700390381502647,1.7010128842774581,1.7013777101319933,-0.018138310765151197,0.24302387003208792,0.24062761433590618,0.0096137416478268,0.9705698981477527,0.5845954228799604,-0.00027058310309194256,0.5695049714751196,0.881134577374894,-0.8213573658488109,0.5702492820055033,0.15931106289035288,0.2564566871767324,0.5916133697559012,-0.023619464708442756,-0.1013180055265713,0.7074560253364385,0.07879611152699009,0.6950048969464261,0.18,0.030856884339116777,-0.02000602328767585,1.2010128842774581,-0.030856884339116777,-0.018138310765151197,0.24302387003208792,0.2989871157225419,False
1782601031.6565597,TRACKING,Tracking AprilTag,Walk,4,72.3238754272461,-0.02847320984032221,-0.015238933500279226,1.696169645031617,1.6964770595264527,-0.016785193529202887,0.2531738984951224,0.25046675538397073,0.009449093689993249,0.9680790872009702,0.5895339125480067,-0.015075620651008953,0.5748494436404742,0.8779471277928971,-0.8198683707963843,0.5755864862829159,0.1625106672510813,0.25794568222915903,0.5976755221866068,-0.022214642488048775,-0.10168352388110255,0.7062915596351254,0.07965005922259234,0.6960377589076192,0.18,0.02847320984032221,-0.023354283547968598,1.196169645031617,-0.02847320984032221,-0.016785193529202887,0.2531738984951224,0.30383035496838295,False
1782601031.7066288,TRACKING,Tracking AprilTag,Walk,4,71.9794921875,-0.02314628853007778,-0.022370884904408934,1.7080363763543893,1.708339682297978,-0.013550573126640575,0.19603564495545647,0.19477969482590754,0.005316801847864687,0.9808326065652777,0.5798756454310102,0.08780534646335883,0.5795953249430732,0.8757217013922818,-0.8194089201571515,0.5797929336945173,0.16563824014013517,0.25840513286839184,0.602639489357368,-0.020530913908223758,-0.101989999325644,0.7050798756492157,0.07977314728822066,0.6972063209436454,0.18,0.02314628853007778,-0.01642212281847321,1.2080363763543893,-0.02314628853007778,-0.013550573126640575,0.19603564495545647,0.2919636236456107,False
1782601031.7566092,TRACKING,Tracking AprilTag,Walk,4,72.1714096069336,-0.021186697504538356,-0.026249425206763707,1.6861350286013748,1.6864724258497064,-0.0125645824490619,0.23371103298654025,0.23156352627963872,-0.014905288703248157,0.9727055904360846,0.5989107427713349,0.02547242438114372,0.584151360574994,0.8737161378236173,-0.8194745221651826,0.5837158529112876,0.16870262437289402,0.25833953086036077,0.6073142289093144,-0.018820195921893795,-0.10302622650668314,0.7042159961102548,0.0786734632506603,0.6980515121782791,0.18,0.021186697504538356,-0.025368729137776096,1.1861350286013748,-0.021186697504538356,-0.0125645824490619,0.23371103298654025,0.31386497139862524,False
