stamp_sec,state,message,requested_mode,tag_id,tag_margin,tag_x_camera_m,tag_y_camera_m,tag_z_camera_m,tag_range_m,tag_bearing_rad,tag_face_yaw_error_rad,tag_face_normal_x_camera,tag_face_normal_y_camera,tag_face_normal_z_camera,tag_rotation_camera_tag_00,tag_rotation_camera_tag_01,tag_rotation_camera_tag_02,tag_rotation_camera_tag_10,tag_rotation_camera_tag_11,tag_rotation_camera_tag_12,tag_rotation_camera_tag_20,tag_rotation_camera_tag_21,tag_rotation_camera_tag_22,tag_aligned_rel_x_m,tag_aligned_rel_y_m,odom_x,odom_y,odom_yaw,odom_rel_x,odom_rel_y,odom_rel_yaw,odom_tag_aligned_rel_x_m,odom_tag_aligned_rel_y_m,imu_x,imu_y,imu_z,imu_w,cmd_heading,cmd_lateral,cmd_turning,range_error_m,lateral_error_m,yaw_error_rad,cmd_face_yaw_error_rad,cmd_face_blend,target_reached
1782605569.0158422,TRACKING,Tracking AprilTag,Walk,2,62.45989227294922,-1.5968808816145577,-0.0015695300048058287,3.092626120964843,3.4805699730883983,-0.47664275410323764,-0.9972152443147709,-0.8399488000458961,-0.005838001690036062,0.542634251626016,0.5426656538314688,-3.811985983270729e-05,-0.8399488000458961,-0.008965934736948376,0.9999427632372564,-0.005838001690036062,0.8399009466395173,0.010699009127782245,0.542634251626016,1.850090384488696,4.617964407656149,0.561665200171925,-4.132521399730709,-2.503656537693595,2.0830765601025036,-0.8901680415414661,-0.7041136199615214,2.005638784492865,1.0531002628279187,0.16430702654906326,0.6922013328725581,-0.20501757138867144,0.6721817546006069,0.5,0.4,-0.1,2.592626120964843,-1.5968808816145577,-0.47664275410323764,-0.9972152443147709,-1.0,False
1782605569.0658937,TRACKING,Tracking AprilTag,Walk,2,70.0698471069336,-1.6215356982478903,-0.00830801554453563,3.1011079219648434,3.4994738729540003,-0.4817908100529335,-0.9677704561558521,-0.8236150069329395,0.004488636051525841,0.5671315301596721,0.5670741833339369,0.00922989441990896,-0.8236150069329395,-0.009756138283481684,0.9999423332933708,0.004488636051525841,0.8236089414048042,0.0054899122767861986,0.5671315301596721,1.7750301293526698,4.522422568877446,0.5479950180409672,-4.149367208524909,-2.5074510561625356,2.102583367514548,-0.8996622301857755,-0.7079081384304622,2.025318561057007,1.0622305173594078,0.1663246045947952,0.6906896240714504,-0.20483866899821382,0.6732942067101599,0.5,0.4,-0.1,2.6011079219648434,-1.6215356982478903,-0.4817908100529335,-0.9677704561558521,-1.0,False
1782605569.115818,TRACKING,Tracking AprilTag,Walk,2,71.98819732666016,-1.6455879668438829,-0.03741409749384909,3.094290772005185,3.5048530572663252,-0.48877391325292696,-0.9162796283389069,-0.7933350914998896,-0.004246044246123428,0.6087704031103367,0.6087803504441266,0.00243259285298494,-0.7933350914998896,-0.009528882425256237,0.9999455842734571,-0.004246044246123428,0.7932815926976071,0.010144505114888635,0.6087704031103367,1.6798210808200142,4.341078024120735,0.5347438235843172,-4.165962001487295,-2.5109997684868106,2.1217506893470297,-0.908805264789367,-0.7114568507547372,2.0445116776374888,1.0713192787667962,0.16888437077155707,0.6887821193194874,-0.20520030883049328,0.674499884855973,0.5,0.4,-0.1,2.594290772005185,-1.6455879668438829,-0.48877391325292696,-0.9162796283389069,-1.0,False
1782605569.1659834,TRACKING,Tracking AprilTag,Walk,2,70.85415649414062,-1.6191841799891884,-0.043398653854373304,3.0198874813079906,3.426858802408461,-0.49216605923401047,-0.9789852335272613,-0.8297358247256926,-0.02172464375169739,0.5577333601467968,0.5580746825983038,-0.009545145864634006,-0.8297358247256926,-0.01520213265174518,0.999648405699074,-0.02172464375169739,0.8296514592319121,0.024737727739674916,0.5577333601467968,1.8409338162695732,4.48924148472868,0.5206939903870939,-4.185457187263154,-2.514789130072903,2.1439239496393627,-0.9180684504894114,-0.7152462123408296,2.0656961233457887,1.0826629704647024,0.1690087083823155,0.6895848274840738,-0.20776657397378184,0.672860961071378,0.5,0.4,-0.1,2.5198874813079906,-1.6191841799891884,-0.49216605923401047,-0.9789852335272613,-1.0,False
1782605569.2157845,TRACKING,Tracking AprilTag,Walk,2,69.85664367675781,-1.6683730912915873,-0.023563247900587777,3.0547011889918387,3.480692941416353,-0.499894664777687,-0.9577786577804346,-0.8178878626422211,0.00823016181683013,0.5753187886546102,0.5752027680451305,0.014185195654590482,-0.8178878626422211,-0.01295573594423549,0.9998821997328545,0.00823016181683013,0.8179082616891474,0.005862327321887734,0.5753187886546102,1.7472780829652697,4.427353903243988,0.505305677941962,-4.207674762234882,-2.518791460829184,2.1690521941055563,-0.9280179292486521,-0.7192485430971105,2.0892787080325492,1.0958645801023614,0.1697933713508252,0.6913800541560561,-0.21013608107868123,0.6700795916824982,0.5,0.4,-0.1,2.5547011889918387,-1.6683730912915873,-0.499894664777687,-0.9577786577804346,-1.0,False
1782605569.2658494,TRACKING,Tracking AprilTag,Walk,2,70.39469909667969,-1.6387664987729444,-0.0066712823280415876,2.9740770659796243,3.395693528264058,-0.5036235466174288,-0.9894093017394552,-0.8356993890413899,-0.0023631979237875213,0.5491820704023583,0.549169536164925,0.004399057200021067,-0.8356993890413899,-0.011606018307803542,0.9999298553571706,-0.0023631979237875213,0.8356303733633911,0.010996938716706912,0.5491820704023583,1.866596823705619,4.472642774657745,0.48943460799404437,-4.231963064956588,-2.5225977648506746,2.1963066953350703,-0.9379680384502311,-0.7230548471186011,2.1142044518257284,1.1107144894202574,0.17443801453238694,0.6889630189088817,-0.20794622656117645,0.672056325408017,0.5,0.4,-0.1,2.4740770659796243,-1.6387664987729444,-0.5036235466174288,-0.9894093017394552,-0.9740770659796243,False
1782605569.3158267,TRACKING,Tracking AprilTag,Walk,2,61.84968185424805,-1.7440077057108265,-0.04443725825058832,3.114921211562869,3.570192109921238,-0.5104032266735828,-0.8226738249082743,-0.7326883885761264,-0.027587131799124687,0.6800049083681801,0.6804451635435629,-0.012732032669340136,-0.7326883885761264,-0.011002143240741578,0.9995588541967941,-0.027587131799124687,0.7327164064317682,0.026832673010695893,0.6800049083681801,1.4725116461413517,3.98270710033706,0.4731820332751357,-4.257806575692935,-2.5249281950731324,2.225162402410791,-0.9479370605353483,-0.725385277341059,2.1401559762959117,1.1267940295208578,0.1749267718230402,0.6870117737753456,-0.20904542689948105,0.6735840383248679,0.5,0.4,0.1,2.614921211562869,-1.7440077057108265,-0.5104032266735828,-0.8226738249082743,-1.0,False
1782605569.3658276,TRACKING,Tracking AprilTag,Walk,2,70.6561508178711,-1.6428075465701173,-0.04685343510614749,2.916227829952628,3.347446285698874,-0.5130220638630871,-0.9798201027868015,-0.8303970965014501,0.00035979513899025636,0.557171905850806,0.5571649609891401,0.002805061127924998,-0.8303970965014501,-0.004498236436169654,0.9999898181563762,0.00035979513899025636,0.8303896507754261,0.0035348572313927233,0.557171905850806,1.8799441996905106,4.394972300616632,0.45877372519706955,-4.28047229259199,-2.5267171196351086,2.2505048925312754,-0.9568304433964276,-0.7271742019030352,2.1630549550673557,1.1408286593857864,0.17559992320317516,0.6883004289058764,-0.20971892114220017,0.6718818055684923,0.5,0.4,0.1,2.416227829952628,-1.6428075465701173,-0.5130220638630871,-0.9798201027868015,-0.9162278299526281,False
1782605569.4158113,TRACKING,Tracking AprilTag,Walk,2,69.26736450195312,-1.6213461830724931,-0.022692618704680173,2.853313092367399,3.281870503749748,-0.5167337031165553,-0.9984658131370736,-0.840431541478655,0.022325662105432388,0.5414576519907774,0.5415990297781518,0.018582654040163078,-0.840431541478655,0.0003418938280164499,0.9997506928830628,0.022325662105432388,0.8406368859691888,-0.012378895292358937,0.5414576519907774,1.9615049358522092,4.409849453032628,0.44706449965732337,-4.301854209932303,-2.5300608489714365,2.2739849885969954,-0.9633861615594657,-0.730517931239363,2.182965261992459,1.1548953587156507,0.17541877050635582,0.6875146245593571,-0.21240686199099454,0.671889292183008,0.5,0.4,0.1,2.353313092367399,-1.6213461830724931,-0.5167337031165553,-0.9984658131370736,-0.853313092367399,False
1782605569.46579,TRACKING,Tracking AprilTag,Walk,2,69.26726531982422,-1.6244759843366987,-0.023108365561800404,2.8379097933441955,3.2700440693367603,-0.519893089544235,-1.0081693368533675,-0.8457496792667502,0.015912023340926732,0.5333425611493865,0.5333907484353964,0.014205263239975579,-0.8457496792667502,-0.0013983412129427823,0.9998724179389338,0.015912023340926732,0.8458678112597618,-0.007304679406586569,0.5333425611493865,1.981636414000579,4.423012090097762,0.435833685649616,-4.322528458444068,-2.5345549266051863,2.2966673664948813,-0.9696363989709103,-0.7350120088731129,2.2021349632073313,1.1685364103662552,0.1749814837602956,0.6865597177605738,-0.215568399247075,0.671972841367581,0.5,0.4,0.1,2.3379097933441955,-1.6244759843366987,-0.519893089544235,-1.0081693368533675,-0.8379097933441955,False
